epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,95.2055,0.63814,0.96034,0.59569,0.88005,0,0.92618,0.98436,0.98119,0.82854,0.92618,0.98436,0.98119,0.8444,0.58823,0.79258,0.49552,0.85227,0,0.00122141,0.00122141,0.00122141
29,101.127,0.59398,0.8816,0.56426,0.86828,0,0.9366,0.99197,0.98214,0.85158,0.9366,0.99197,0.98214,0.85004,0.59457,0.82178,0.46526,0.85273,0,0.00120491,0.00120491,0.00120491
30,104.31,0.64856,0.94666,0.58458,0.88365,0,0.93154,0.99767,0.98053,0.84789,0.93154,0.99767,0.98053,0.78904,0.55019,0.93509,0.4433,0.84845,0,0.0011884,0.0011884,0.0011884
31,109.241,0.62908,0.92067,0.55873,0.87052,0,0.94388,0.98529,0.98185,0.83696,0.94388,0.98529,0.98185,0.83742,0.5725,0.86313,0.44716,0.86062,0,0.0011719,0.0011719,0.0011719
32,110.981,0.62775,0.88838,0.54564,0.86788,0,0.93742,0.9729,0.98504,0.84832,0.93742,0.9729,0.98504,0.81949,0.51623,0.88864,0.41775,0.8516,0,0.0011554,0.0011554,0.0011554
33,112.692,0.63968,0.96189,0.54015,0.87082,0,0.93881,0.98529,0.98149,0.82668,0.93881,0.98529,0.98149,0.83071,0.56723,0.89896,0.42028,0.8527,0,0.00113889,0.00113889,0.00113889
34,114.561,0.62171,0.87554,0.54073,0.87401,0,0.95039,0.98529,0.98717,0.84653,0.95039,0.98529,0.98717,0.8353,0.57367,0.86676,0.42603,0.85092,0,0.00112239,0.00112239,0.00112239
35,116.284,0.61966,0.84318,0.51133,0.87179,0,0.95748,0.98139,0.98577,0.8552,0.95748,0.98139,0.98577,0.84242,0.55049,0.78062,0.45237,0.84854,0,0.00110589,0.00110589,0.00110589
36,117.959,0.61348,0.83406,0.52134,0.87036,0,0.96557,0.95588,0.98359,0.85333,0.96557,0.95588,0.98359,0.8627,0.50607,0.79937,0.41805,0.84761,0,0.00108938,0.00108938,0.00108938
37,124.657,0.61294,0.87755,0.53357,0.87791,0,0.97543,0.95421,0.98212,0.84536,0.97543,0.95421,0.98212,0.81103,0.54386,0.84557,0.43226,0.85373,0,0.00107288,0.00107288,0.00107288
38,131.425,0.58748,0.81869,0.50501,0.86288,0,0.96483,0.98433,0.99021,0.86486,0.96483,0.98433,0.99021,0.81186,0.52969,0.81518,0.40185,0.84935,0,0.00105638,0.00105638,0.00105638
39,135.28,0.59074,0.86627,0.49694,0.88054,0,0.94367,0.98345,0.98437,0.87603,0.94367,0.98345,0.98437,0.82597,0.49329,0.77536,0.39599,0.84284,0,0.00103987,0.00103987,0.00103987
